Grup taxonòmic,Nom científic,Autors,Sinònims,Protecció europea,Protecció estatal,Protecció catalana,Àmbit territorial de protecció catalana,Protecció estricta-PEIN,Protecció de l’explotació,Protecció de fanerògames marines,Protecció pel Conveni de Berna,Protecció pel Conveni Barcelona
Líquens,Acarospora nodulosa,Acarospora nodulosa (Dufour) Hue,Basiònim: Acarospora reagens Zahlbr.,No inclosa,Vulnerable,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Acaulon casasianum,Acaulon casasianum Brugués & H.A.Crum,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Briòfits,Acaulon fontiquerianum,Acaulon fontiquerianum Casas & Sérgio,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Achillea maritima,Achillea maritima  (L.) Ehrend. & Y.-P. Guo,[Otanthus maritimus  (L.) Hoffmanns. & Link],No inclosa,No inclosa,En perill d'extinció,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Aconitum lycoctomum,Aconitum lycoctomum  L.,"[A. vulparia  subsp. ranunculifolium  (Rchb.) M. Laínz; A. pyrenaicum  subsp. lamarckii
(Rchb.) O. Bolòs & Vigo]",No inclosa,No inclosa,No inclosa,No aplica,Zona volcànica de la Garrotxa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Adenocarpus telonensis,Adenocarpus telonensis (Loisel.) DC.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Gavarres| Roques Blanques,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Adonis pyrenaica,Adonis pyrenaica DC.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Serres de Cadí-Moixeró,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Adonis vernalis,Adonis vernalis L.,No aplica,No inclosa,No inclosa,No inclosa,No aplica,Tossals d'Isòvol i Olopte,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Aira praecox,Aira praecox L.,No aplica,No inclosa,No inclosa,Vulnerable,Protegides les poblacions fora de la Val d'Aran,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Airopsis tenella,Airopsis tenella (Cav.)  Coss. & Durieu,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Aizoanthemopsis hispanicum,Aizoanthemopsis hispanicum  (L.) Klak,[Aizoon hispanicum  L.],No inclosa,No inclosa,No inclosa,No aplica,Tossals de Montmeneu,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Alchemilla catalaunica,Alchemilla catalaunica  Rothm.,"[A. alpina  subsp. catalaunica  (Rothm.) O. Bolòs & Vigo; A. alpina  auct., p.p.; A. plicatula  auct., p.p.]",No inclosa,No inclosa,No inclosa,No aplica,Aigüestortes,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Alchemilla pentaphyllea,Alchemilla pentaphyllea  L.,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Alchemilla pyrenaica,Alchemilla pyrenaica  Dufour,"Aquest nom és incert, perquè ha estat aplicat a més d’una Alchemila, però suposem que es referia a Alchemilla borderei.",No inclosa,No inclosa,No inclosa,No aplica,Aigüestortes,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Alchemilla tenerrima,Alchemilla tenerrima  S.E. Fröhner,"[A. subsericea  auct., non Reut.]",No inclosa,No inclosa,No inclosa,No aplica,Capçaleres del Ter i del Freser,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Allium pyrenaicum,Allium pyrenaicum  Costa & Vayreda,No aplica,No inclosa,No inclosa,Vulnerable,Tot Catalunya,No inclosa,No inclosa,No inclosa,No inclosa,No inclosa
Espermatòfits,Alyssum serpyllifolium,Alyssum serpyllifolium  Desf.,[A. alpestre  subsp. serpyllifolium  (Desf.) Rouy & Foucaud],No inclosa,No inclosa,No inclosa,No aplica,Serra d'Aubenç,No inclosa,No inclosa,No inclosa,No inclosa
